YEAR,Rk,Team,Conf,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A,,,,,,,,,,,,,,,,,,,,,,
2018,28,Chicago Bulls,E,27,55,0.329,-7.04,104.39,111.61,-7.22,-6.84,104.46,111.47,-7.01,24.4,23,59,0.2,-6.84,103.8,110.9,98.3,0.216,0.35,0.529,0.497,12.6,20.6,0.164,0.542,12.4,80.6,0.184,United Center,"851,824","20,776"
2018,7,Boston Celtics,E,55,27,0.671,3.59,108.4,104.65,3.75,3.24,108.14,104.75,3.39,24.7,51,31,-0.35,3.23,107.6,103.9,96,0.243,0.357,0.552,0.518,13,21.5,0.188,0.495,13,78.4,0.191,TD Garden,"763,584","18,624"
2018,24,Brooklyn Nets,E,28,54,0.341,-3.74,107.71,111.51,-3.8,-3.67,107.83,111.55,-3.72,25.1,31,51,0.07,-3.67,106.9,110.6,98.9,0.26,0.411,0.551,0.514,13.6,21,0.201,0.517,11,77,0.201,Barclays Center,"640,010","15,376"
2018,11,Denver Nuggets,W,46,36,0.561,1.48,113.02,111.4,1.62,1.57,113.21,111.5,1.71,25.1,45,37,0.09,1.57,112.5,111,96.8,0.258,0.357,0.57,0.536,13.4,25.7,0.198,0.539,12.6,77.5,0.173,Pepsi Center,"702,796","17,141"
2018,26,Atlanta Hawks,E,24,58,0.293,-5.45,105.74,111.21,-5.47,-5.3,105.81,111.12,-5.31,25.4,27,55,0.15,-5.3,105,110.6,98.3,0.236,0.363,0.547,0.512,14.1,21.1,0.185,0.536,13.6,76.2,0.183,Philips Arena,"590,769","14,409"
2018,25,Orlando Magic,E,25,57,0.305,-4.82,105.83,110.85,-5.02,-4.92,105.77,110.88,-5.11,25.6,28,54,-0.1,-4.92,105.2,110.1,98.1,0.238,0.342,0.545,0.512,13.3,20,0.18,0.525,12.8,75.6,0.187,Amway Center,"734,531","17,915"
2018,9,Portland Trail Blazers,W,49,33,0.598,2.6,109.58,106.93,2.66,2.6,109.44,106.79,2.66,25.6,48,34,0,2.6,109.1,106.4,96.5,0.24,0.324,0.549,0.511,12.3,23.3,0.192,0.503,11.7,79.1,0.193,Moda Center,"795,750","19,409"
2018,5,Philadelphia 76ers,E,52,30,0.634,4.5,110.28,105.77,4.51,4.3,110.12,105.81,4.31,25.8,53,29,-0.2,4.3,109.5,105,99.8,0.263,0.344,0.568,0.535,14.6,25.3,0.198,0.492,12.6,78.6,0.218,Wells Fargo Center,"833,503","20,361"
2018,2,Toronto Raptors,E,59,23,0.72,7.78,114.6,106.56,8.03,7.3,114.5,106.96,7.54,25.8,60,22,-0.49,7.29,113.8,105.9,97.4,0.25,0.377,0.575,0.539,12.1,23,0.198,0.501,13,77.7,0.212,Air Canada Centre,"813,431","19,840"
2018,19,Detroit Pistons,E,39,43,0.476,-0.15,107.95,108.14,-0.19,-0.26,107.84,108.14,-0.3,25.9,41,41,-0.11,-0.26,107.2,107.3,96.2,0.227,0.333,0.543,0.512,12.3,22.7,0.169,0.524,13.7,78.5,0.172,Little Caesars Arena,"713,945","17,413"
2018,20,Milwaukee Bucks,E,44,38,0.537,-0.3,110.67,110.98,-0.31,-0.45,110.7,111.16,-0.46,25.9,40,42,-0.15,-0.45,109.8,110.1,96.2,0.281,0.297,0.571,0.531,12.9,20.4,0.22,0.528,14.2,75.9,0.22,BMO Harris Bradley Center,"685,303","16,856"
2018,27,Memphis Grizzlies,W,22,60,0.268,-6.21,105.29,111.85,-6.57,-5.81,105.44,111.59,-6.15,26,25,57,0.39,-5.81,104.5,111,94.9,0.255,0.317,0.539,0.5,14,22.4,0.201,0.529,13.8,76.5,0.256,FedEx Forum,"653,863","15,948"
2018,13,Indiana Pacers,E,48,34,0.585,1.38,110.24,108.8,1.44,1.18,110.17,108.94,1.24,26.2,45,37,-0.2,1.18,109.5,108.1,96,0.222,0.284,0.557,0.525,12.3,22.7,0.173,0.527,14.2,76.2,0.174,Bankers Life Fieldhouse,"658,119","16,052"
2018,29,Sacramento Kings,W,27,55,0.329,-6.99,104.47,111.9,-7.43,-6.59,104.6,111.62,-7.02,26.3,23,59,0.39,-6.6,103.7,111.1,94.9,0.194,0.278,0.529,0.502,12.8,21.5,0.143,0.542,13.5,77.6,0.199,Golden 1 Center,"714,680","17,431"
2018,23,New York Knicks,E,29,53,0.354,-3.56,107.72,111.36,-3.65,-3.53,107.77,111.38,-3.61,26.3,32,50,0.03,-3.53,107.1,110.7,96.8,0.216,0.266,0.544,0.51,13.3,24.1,0.17,0.522,12.2,76.7,0.208,Madison Square Garden (IV),"792,608","19,332"
2018,16,Miami Heat,E,44,38,0.537,0.48,107.63,107.12,0.51,0.15,107.47,107.28,0.18,26.5,42,40,-0.33,0.15,106.8,106.3,95.6,0.229,0.358,0.551,0.52,13.3,21.5,0.173,0.507,13.1,79,0.215,AmericanAirlines Arena,"804,850","19,630"
2018,18,Charlotte Hornets,E,36,46,0.439,0.26,109.95,109.72,0.23,0.07,109.93,109.89,0.04,26.6,42,40,-0.19,0.07,109.4,109.1,98.4,0.312,0.314,0.549,0.508,11.4,22.2,0.233,0.532,12.4,80.7,0.165,Spectrum Center,"671,404","16,376"
2018,4,Utah Jazz,W,48,34,0.585,4.3,109.07,104.56,4.51,4.47,108.92,104.24,4.68,26.7,53,29,0.17,4.47,108.4,103.9,95.7,0.26,0.357,0.564,0.527,13.7,21.5,0.202,0.506,14,79.8,0.19,Vivint Smart Home Arena,"734,806","17,922"
2018,15,Washington Wizards,E,43,39,0.524,0.59,109.96,109.41,0.55,0.53,110,109.49,0.5,26.9,43,39,-0.06,0.53,109.3,108.7,96.6,0.254,0.31,0.56,0.525,13.3,23.5,0.196,0.522,13.6,77.1,0.212,Capital One Arena,"739,302","18,032"
2018,17,Los Angeles Clippers,W,42,40,0.512,0.04,110.97,111.02,-0.05,0.15,111.06,111,0.07,27,41,41,0.11,0.15,110.3,110.2,98.7,0.299,0.314,0.564,0.527,13.2,23.5,0.222,0.52,12.6,76.1,0.203,STAPLES Center,"697,812","17,020"
2018,10,Minnesota Timberwolves,W,47,35,0.573,2.23,114.24,111.86,2.38,2.35,114.41,111.91,2.5,27.1,47,35,0.12,2.35,113.4,111.1,96,0.28,0.261,0.566,0.523,11.4,24.4,0.225,0.539,13.9,76.4,0.189,Target Center,"699,308","17,056"
2018,6,Oklahoma City Thunder,W,48,34,0.585,3.41,111.48,108.02,3.47,3.42,111.5,108.03,3.47,27.3,50,32,0,3.42,110.7,107.2,96.7,0.275,0.345,0.546,0.514,12.4,27.7,0.197,0.525,14.7,77.4,0.193,Chesapeake Energy Arena,"746,322","18,203"
2018,12,New Orleans Pelicans,W,48,34,0.585,1.3,110.29,109.05,1.24,1.48,110.37,108.95,1.42,27.6,44,38,0.18,1.48,109.6,108.3,100.5,0.237,0.319,0.573,0.541,13.3,20,0.183,0.513,12.5,76.7,0.175,Smoothie King Center,"673,920","16,437"
2018,22,Dallas Mavericks,W,24,58,0.293,-3.04,106.92,110,-3.08,-2.7,106.96,109.7,-2.74,27.7,33,49,0.34,-2.7,106.3,109.5,95.6,0.217,0.382,0.544,0.513,11.6,18,0.166,0.532,12.9,78.9,0.193,American Airlines Center,"811,453","19,792"
2018,3,Golden State Warriors,W,58,24,0.707,5.98,114.31,108.43,5.88,5.79,114.33,108.62,5.7,28.8,56,26,-0.19,5.79,113.6,107.6,99.6,0.239,0.339,0.603,0.569,14.1,21,0.195,0.504,12.6,76.3,0.186,Oracle Arena,"803,436","19,596"
2018,8,San Antonio Spurs,W,47,35,0.573,2.89,108.49,105.36,3.13,2.89,108.35,105.23,3.12,29.3,49,33,0,2.89,107.9,104.8,95,0.245,0.282,0.543,0.507,12.2,23.7,0.189,0.507,13.2,78.6,0.17,AT&T Center,"754,562","18,404"
2018,1,Houston Rockets,W,65,17,0.793,8.48,115.48,106.84,8.64,8.21,115.45,107.08,8.37,29.8,61,21,-0.27,8.21,114.7,106.1,97.6,0.298,0.502,0.59,0.551,12.7,21.3,0.233,0.521,13.4,79.9,0.171,Toyota Center,"732,722","17,871"
2018,14,Cleveland Cavaliers,E,50,32,0.61,0.94,113.58,112.56,1.02,0.59,113.61,112.94,0.67,30.6,43,39,-0.35,0.59,112.9,111.9,98,0.275,0.379,0.584,0.547,12.6,20.1,0.214,0.54,12.2,77.3,0.166,Quicken Loans Arena,"843,042","20,562"
